实验编号,性别,百分位,路面,姿态,重量
E001,男,P5,机场平面,水平推进,8kg
E002,男,P5,机场平面,斜坡拉行,8kg
E003,男,P5,斜坡,侧向拉提,14kg
E004,男,P5,斜坡,转向操作,14kg
E005,男,P5,粗糙地面,越障动作,20kg
E006,男,P10,机场平面,斜坡拉行,14kg
E007,男,P10,机场平面,侧向拉提,14kg
E008,男,P10,斜坡,转向操作,20kg
E009,男,P10,斜坡,越障动作,8kg
E010,男,P10,粗糙地面,水平推进,8kg
E011,男,P50,机场平面,侧向拉提,20kg
E012,男,P50,机场平面,转向操作,8kg
E013,男,P50,斜坡,越障动作,8kg
E014,男,P50,斜坡,水平推进,14kg
E015,男,P50,粗糙地面,斜坡拉行,14kg
E016,男,P90,机场平面,转向操作,8kg
E017,男,P90,机场平面,越障动作,14kg
E018,男,P90,斜坡,水平推进,14kg
E019,男,P90,斜坡,斜坡拉行,20kg
E020,男,P90,粗糙地面,侧向拉提,8kg
E021,男,P95,机场平面,越障动作,14kg
E022,男,P95,机场平面,水平推进,20kg
E023,男,P95,斜坡,斜坡拉行,8kg
E024,男,P95,斜坡,侧向拉提,8kg
E025,男,P95,粗糙地面,转向操作,14kg
E026,女,P5,机场平面,越障动作,20kg
E027,女,P5,机场平面,水平推进,8kg
E028,女,P5,斜坡,斜坡拉行,8kg
E029,女,P5,斜坡,侧向拉提,14kg
E030,女,P5,粗糙地面,转向操作,14kg
E031,女,P10,机场平面,转向操作,14kg
E032,女,P10,机场平面,越障动作,14kg
E033,女,P10,斜坡,水平推进,20kg
E034,女,P10,斜坡,斜坡拉行,8kg
E035,女,P10,粗糙地面,侧向拉提,8kg
E036,女,P50,机场平面,斜坡拉行,14kg
E037,女,P50,机场平面,侧向拉提,20kg
E038,女,P50,斜坡,转向操作,8kg
E039,女,P50,斜坡,越障动作,8kg
E040,女,P50,粗糙地面,水平推进,14kg
E041,女,P90,机场平面,水平推进,8kg
E042,女,P90,机场平面,斜坡拉行,8kg
E043,女,P90,斜坡,侧向拉提,14kg
E044,女,P90,斜坡,转向操作,14kg
E045,女,P90,粗糙地面,越障动作,20kg
E046,女,P95,机场平面,侧向拉提,8kg
E047,女,P95,机场平面,转向操作,14kg
E048,女,P95,斜坡,越障动作,14kg
E049,女,P95,斜坡,水平推进,20kg
E050,女,P95,粗糙地面,斜坡拉行,8kg
