用户ID,性别,百分位,行李质量_kg,场景类型,斜坡角度_deg,摩擦系数,水平加速度_m_s2,拉行系数,操作类型,肩关节角度_deg,肘关节角度_deg,腕关节角度_deg,手部水平作用力_N,手部垂直作用力_N,手部合力_N,腕关节力矩_X_Nm,腕关节力矩_Y_Nm,腕关节力矩_Z_Nm,腕关节力矩_合_Nm,肘关节力矩_X_Nm,肘关节力矩_Y_Nm,肘关节力矩_Z_Nm,肘关节力矩_合_Nm,肩关节力矩_X_Nm,肩关节力矩_Y_Nm,肩关节力矩_Z_Nm,肩关节力矩_合_Nm,MVC百分比,疲劳惩罚值,拇指估算总接触力_N,食指估算总接触力_N,中指估算总接触力_N,无名指估算总接触力_N,小指估算总接触力_N
男_P5,男,P5,8.0,机场平面,0.0,0.015,0.8,1.0,pushing,30.0,100.0,0.0,7.5772,7.5772,10.715779004813417,-0.0,1.7394354733134711,0.0,1.7394354733134711,-0.0,-6.916743133429351,-0.0,6.916743133429351,-0.0,9.306708933890379,-0.0,9.306708933890379,3.4567029047785214,2.0857754323313916e-05,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
男_P5,男,P5,8.0,机场平面,0.0,0.015,0.8,1.0,pulling,40.0,90.0,15.0,7.5772,7.5772,10.715779004813417,-0.0,2.216952813763956,0.0,2.216952813763956,-0.0,-7.394260473879837,-0.0,7.394260473879837,-0.0,6.956675095782206,-0.0,6.956675095782206,3.4567029047785214,2.0857754323313916e-05,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
男_P5,男,P5,14.0,斜坡,8.0,0.03,0.7,1.3,lifting,60.0,95.0,20.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,2.6929871347102106,0.0,2.6929871347102106,-0.0,-9.983569592055149,-0.0,9.983569592055149,-0.0,-0.6142026614888145,-0.0,0.6142026614888145,18.852761101409374,0.025131003453835815,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
男_P5,男,P5,14.0,斜坡,8.0,0.03,0.7,1.3,turning,35.0,85.0,25.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,2.212863189893477,0.0,2.212863189893477,-0.0,-6.230035702099258,-0.0,6.230035702099258,-0.0,9.110921260078642,-0.0,9.110921260078642,18.852761101409374,0.025131003453835815,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
男_P5,男,P5,20.0,粗糙地面,0.0,0.05,1.0,1.5,lifting,45.0,110.0,10.0,38.75300000000001,185.6595,189.66086826029772,-0.0,2.599054711938828,0.0,2.599054711938828,-0.0,-9.861565313008395,-0.0,9.861565313008395,-0.0,3.354750065551847,-0.0,3.354750065551847,61.180925245257335,0.33850200623942217,60.691477843295274,53.105043112883365,45.51860838247145,20.86269550863275,9.483043413014887
男_P10,男,P10,14.0,机场平面,0.0,0.015,0.8,1.0,pulling,40.0,90.0,15.0,13.260100000000001,13.260100000000001,18.75261325842348,-0.0,2.360026394971869,0.0,2.360026394971869,-0.0,-7.874740051333216,-0.0,7.874740051333216,-0.0,7.396541844072617,-0.0,7.396541844072617,3.906794428838225,8.222761361720427e-05,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174
男_P10,男,P10,14.0,机场平面,0.0,0.015,0.8,1.0,lifting,60.0,95.0,20.0,13.260100000000001,13.260100000000001,18.75261325842348,-0.0,2.8708011080149523,0.0,2.8708011080149523,-0.0,-10.64830512618977,-0.0,10.64830512618977,-0.0,-0.6789017607392943,-0.0,0.6789017607392943,3.906794428838225,8.222761361720427e-05,6.000836242695514,5.250731712358575,4.500627182021635,2.0627874584265826,0.937630662921174
男_P10,男,P10,20.0,斜坡,8.0,0.03,0.7,1.3,turning,35.0,85.0,25.0,50.90523868185595,66.17681028641273,83.49079916338438,-0.0,2.3543766849286345,0.0,2.3543766849286345,-0.0,-6.630030549082497,-0.0,6.630030549082497,-0.0,9.692962066507754,-0.0,9.692962066507754,17.393916492371748,0.020718483198937137,26.717055732283,23.37742376574763,20.03779179921225,9.183987907972282,4.174539958169219
男_P10,男,P10,8.0,斜坡,8.0,0.03,0.7,1.3,lifting,45.0,110.0,10.0,20.36209547274238,26.470724114565094,33.39631966535375,-0.0,2.7821020988320453,0.0,2.7821020988320453,-0.0,-10.556251868321501,-0.0,10.556251868321501,-0.0,3.539247380808065,-0.0,3.539247380808065,6.957566596948698,0.0015662333369284103,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875
男_P10,男,P10,8.0,粗糙地面,0.0,0.05,1.0,1.5,pushing,30.0,100.0,0.0,15.501199999999999,74.2638,75.86434730411908,-0.0,1.8479844916068557,0.0,1.8479844916068557,-0.0,-7.353530006113946,-0.0,7.353530006113946,-0.0,9.894427082513051,-0.0,9.894427082513051,15.805072355024807,0.016396987801742056,24.276591137318107,21.242017245153345,18.207443352988577,8.345078203453099,3.793217365205954
男_P50,男,P50,20.0,机场平面,0.0,0.015,0.8,1.0,lifting,60.0,95.0,20.0,18.943,18.943,26.78944751203354,-0.0,3.7095375019881587,0.0,3.7095375019881587,-0.0,-13.679714664715465,-0.0,13.679714664715465,-0.0,-0.8084686179622659,-0.0,0.8084686179622659,5.581134898340321,0.00066622573634303,8.572623203850734,7.501045303369392,6.429467402888049,2.9468392263236893,1.339472375601677
男_P50,男,P50,8.0,机场平面,0.0,0.015,0.8,1.0,turning,35.0,85.0,25.0,7.5772,7.5772,10.715779004813417,-0.0,3.050864078865899,0.0,3.050864078865899,-0.0,-8.552132052658855,-0.0,8.552132052658855,-0.0,12.530678962424279,-0.0,12.530678962424279,2.2324539593361283,0.0,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
男_P50,男,P50,8.0,斜坡,8.0,0.03,0.7,1.3,lifting,45.0,110.0,10.0,20.36209547274238,26.470724114565094,33.39631966535375,-0.0,3.595818556609085,0.0,3.595818556609085,-0.0,-13.56425150923467,-0.0,13.56425150923467,-0.0,4.633947442121622,-0.0,4.633947442121622,6.957566596948698,0.0015662333369284103,10.6868222929132,9.350969506299052,8.0151167196849,3.6735951631889128,1.6698159832676875
男_P50,男,P50,14.0,斜坡,8.0,0.03,0.7,1.3,pushing,30.0,100.0,0.0,35.633667077299165,46.32376720048891,58.443559414369055,-0.0,2.3895204190900965,0.0,2.3895204190900965,-0.0,-9.451529008012887,-0.0,9.451529008012887,-0.0,12.831212487838307,-0.0,12.831212487838307,12.17574154466022,0.00841942328944035,18.7019390125981,16.364196636023337,14.026454259448572,6.428791535580596,2.9221779707184528
男_P50,男,P50,14.0,粗糙地面,0.0,0.05,1.0,1.5,pulling,40.0,90.0,15.0,27.127100000000002,129.96165000000002,132.7626077822084,-0.0,3.040609314102966,0.0,3.040609314102966,-0.0,-10.091515331239535,-0.0,10.091515331239535,-0.0,9.598885619502864,-0.0,9.598885619502864,27.658876621293416,0.0608060196224171,42.48403449030668,37.17353017901835,31.863025867730013,14.603886856042923,6.63813038911042
男_P90,男,P90,8.0,机场平面,0.0,0.015,0.8,1.0,turning,35.0,85.0,25.0,7.5772,7.5772,10.715779004813417,-0.0,3.8012822923271035,0.0,3.8012822923271035,-0.0,-10.606807951595476,-0.0,10.606807951595476,-0.0,15.638410037675557,-0.0,15.638410037675557,2.2324539593361283,0.0,3.4290492815402933,3.000418121347757,2.5717869611552198,1.178735690529476,0.5357889502406709
