参数类别,参数,符号,定义,单位,数值/范围,来源标识符,备注
行李箱与场景参数,行李箱质量,m_luggage,行李箱总质量,kg,20,"GB/T 2155-2018 条款 5.2","标准测试负载，短途航班平均 18.2 kg（中国民用航空局）"
行李箱与场景参数,行李箱转动惯量,I_luggage,绕旋转轴转动惯量,kg·m²,0.2768,QB/T 2155-2018 测试样箱,"20 寸箱（宽 0.36 m，深 0.23 m，质量 18.2 kg）估算方法: 薄壁圆柱体近似: I = 1/2m(r1^2 + r2^2)。示例 (24寸箱, m=8kg, r1=0.35m, r2=0.32m): I ≈ 0.87 kg·m² (来源: 经典力学公式)"
行李箱与场景参数,滚动摩擦系数（硬质地面）,μ_rolling,滚动摩擦系数,-,"0.02–0.05","GB/T 2155-2018 条款 5.5.6",机场瓷砖地面
行李箱与场景参数,滚动摩擦系数（地毯）,μ_rolling,滚动摩擦系数,-,0.05,DOI: 10.1016/j.proeng.2010.03.329,短绒地毯
行李箱与场景参数,坡度角度,θ_slope,航站楼通道坡度,°,≤5,"GB 50647-2011 条款 6.3.2","航站楼通道，航空坡道 ≤8°（IATA AHM 804）"
行李箱与场景参数,行走速度,v,行李箱拉行速度,m/s,"0.5–2.0","Jung et al., 2007, DOI: 10.2486/indhealth.45.756",典型值 1.0 m/s
行李箱与场景参数,角速度,ω,行李箱转弯角速度,rad/s,"直线: 1.2–1.8 转弯: 0.6–1.0","pplx.ai/share & [2] (SemSch: eb973...); Jung et al., 2007; van der Beek et al., 1999",典型值 0.5 rad/s
行李箱与场景参数,角加速度,α,行李箱转弯角加速度,rad/s²,≤1.2,"ISO 11228-2:2007 条款 5.3.2",急转弯安全阈值
行李箱与场景参数,旋转阻尼系数,c_damping,旋转力矩计算,N·m·s/rad,0.15,"JIS S 0017:2015 条款 4.1.3",旋转力矩计算
行李箱与场景参数,拉行垂直比例因子,C_pull,拉行时手部垂直/水平力比,-,0.3,"ISO 11228-2:2007 条款 4.3.1",拉行场景
行李箱与场景参数,推动垂直比例因子,C_push,推动时手部垂直/水平力比,-,0.2,"ISO 11228-2:2007 条款 4.3.1",推动场景
行李箱与场景参数,地形振动调整因子,k_vibration,振动对基准力的调整因子,-,"0（机场） / 0.1（街道） / 0.2（粗糙）","Jung et al., 2007, DOI: 10.2486/indhealth.45.756",机场平路取 0
行李箱与场景参数,冲击系数,k_impact,垂直冲击力系数,-,"1.5–2.0","QB/T 2155-2018 条款 5.5.13","垂直跌落测试，过坎场景"
行李箱与场景参数,侧向力系数,k_lateral,单侧行李箱携带的侧向力相对重力的比例,-,"0.15–0.20","International Journal of Exercise Science 13(1): 354-365","拿侧提式行李箱时，为保持平衡产生的侧向力，20kg行李箱对应约30-50N侧向力"
行李箱规格,行李箱质量_8kg,m_luggage_8kg,8kg行李箱质量,kg,8,项目设定,18寸行李箱
行李箱规格,行李箱转动惯量_8kg_18in,I_luggage_8kg,8kg/18寸行李箱绕Z轴转动惯量,kg·m²,0.0993,估算,"尺寸约:高0.48m x 宽0.33m x 深0.20m"
行李箱规格,行李箱质量_14kg,m_luggage_14kg,14kg行李箱质量,kg,14,项目设定,20寸行李箱
行李箱规格,行李箱转动惯量_14kg_20in,I_luggage_14kg,14kg/20寸行李箱绕Z轴转动惯量,kg·m²,0.2134,基于QB/T标准按质量比例调整,"尺寸约:高0.508m x 宽0.36m x 深0.23m"
行李箱规格,行李箱质量_20kg,m_luggage_20kg,20kg行李箱质量,kg,20,项目设定,22寸行李箱
行李箱规格,行李箱转动惯量_20kg_22in,I_luggage_20kg,20kg/22寸行李箱绕Z轴转动惯量,kg·m²,0.3042,估算,"尺寸约:高0.56m x 宽0.36m x 深0.23m"
路面参数,滚动摩擦系数_机场平面,μ_rolling_airport,机场平面滚动摩擦系数,-,0.035,计算数据.md参考/典型值,"硬质地面，行走速度1m/s时，μ(v)=0.03+0.002v+0.0001v^2 ≈ 0.0321"
路面参数,坡度角度_机场平面,θ_slope_airport,机场平面坡度,°,0,标准定义,
路面参数,地形振动调整因子_机场平面,k_vibration_airport,机场平面振动因子,-,0,计算数据.md,
路面参数,滚动摩擦系数_斜坡,μ_rolling_slope,斜坡基础滚动摩擦系数,-,0.035,计算数据.md参考/典型值,"假设斜坡基础为硬质地面，同机场平面"
路面参数,坡度角度_斜坡,θ_slope_slope,斜坡坡度,°,5,计算数据.md/GB 50647-2011,
路面参数,地形振动调整因子_斜坡,k_vibration_slope,斜坡振动因子,-,0,计算数据.md,"假设斜坡表面平滑，同机场平面"
路面参数,滚动摩擦系数_粗糙地面,μ_rolling_rough,粗糙地面滚动摩擦系数,-,0.06,推测值,"高于地毯(0.05)，低于某些非常粗糙表面"
路面参数,坡度角度_粗糙地面,θ_slope_rough,粗糙地面坡度,°,0,标准定义,
路面参数,地形振动调整因子_粗糙地面,k_vibration_rough,粗糙地面振动因子,-,0.2,计算数据.md,
握柄设计参数,握柄直径,D_handle,握柄横截面直径,mm,"30–40",DOI: S0894113003001601,优化范围
握柄设计参数,握柄摩擦系数 (橡胶),μ_handle_rubber,橡胶与皮肤静摩擦系数,-,~0.6,PubMed DOI: 10493141,典型值
握柄设计参数,握柄摩擦系数 (TPE),μ_handle_TPE,TPE 与皮肤静摩擦系数,-,"0.65 ± 0.1","GB/T 2912.1-2009 附录 B",
握柄设计参数,握柄摩擦系数 (塑料),μ_handle_plastic,塑料与皮肤静摩擦系数,-,~0.3,"Engineering Toolbox, 2008",
握柄设计参数,握柄压力限值,P_limit,长期舒适性压力阈值,kPa,≤15,"ISO 9241-5:1998 条款 4.2.3",
设计优化与生物力学评估参数,拉杆高度,N/A,优化设计建议调节范围,mm,"1100–1350","pplx.ai/share & [4] (SemSch: 0f5b8..., 基于 GB/T 10000 推算 P5-P95)",对应 1.1-1.35 m
设计优化与生物力学评估参数,握柄角度 (矢状面),N/A,舒适操作参考范围 (前倾),°,15 ± 5,"pplx.ai/share & [3][5] (SemSch: 0002c..., 7f46f...)",基于肩关节运动学
设计优化与生物力学评估参数,握柄角度 (冠状面),N/A,舒适操作参考范围 (内收),°,10 ± 3,"pplx.ai/share & [3][5] (SemSch: 0002c..., 7f46f...)",基于肩关节运动学
设计优化与生物力学评估参数,关节力矩权重 (肩),N/A,生物力学成本函数权重,-,"0.45–0.55","pplx.ai/share & [5] (SemSch: 7f46f..., 基于术后代偿机制)",建议取值: 0.5
设计优化与生物力学评估参数,关节力矩权重 (肘),N/A,生物力学成本函数权重,-,"0.25–0.35","pplx.ai/share & [5] (SemSch: 7f46f...)",建议取值: 0.3
设计优化与生物力学评估参数,关节力矩权重 (腕),N/A,生物力学成本函数权重,-,"0.15–0.25","pplx.ai/share & [5] (SemSch: 7f46f...)",建议取值: 0.2 
